Date,close_price,Returns,State,State_name,Portfolio
2023-05-30,176.6026,0.010659843573219252,1,Bull,10
2023-05-31,176.5528,-0.0002819890533888314,0,Flat,10
2023-06-01,179.3816,0.01602240236348562,1,Bull,11
2023-06-02,180.2382,0.0047752946790529105,0,Flat,11
2023-06-05,178.8736,-0.007571092032654492,0,Flat,11
2023-06-06,178.5051,-0.002060113957565668,0,Flat,11
2023-06-07,177.1205,-0.007756641126780206,0,Flat,11
2023-06-08,179.8597,0.015465177661535545,1,Bull,12
2023-06-09,180.2482,0.0021600169465421093,0,Flat,12
2023-06-12,183.0671,0.015638991124460766,1,Bull,13
2023-06-13,182.5889,-0.0026121569632119312,0,Flat,13
2023-06-14,183.2264,0.0034914499183686942,0,Flat,13
2023-06-15,185.2783,0.011198713722476716,1,Bull,14
2023-06-16,184.1926,-0.0058598335584901795,0,Flat,14
2023-06-20,184.2823,0.0004869902482509403,0,Flat,14
2023-06-21,183.2364,-0.005675531507909226,0,Flat,14
2023-06-22,186.2644,0.01652510090789816,1,Bull,15
2023-06-23,185.9457,-0.001711008652216961,0,Flat,15
2023-06-26,184.5412,-0.007553280339367863,0,Flat,15
2023-06-27,187.3203,0.015059509746333077,1,Bull,16
2023-06-28,188.5056,0.0063276644335930055,0,Flat,16
2023-06-29,188.8442,0.001796233109255141,0,Flat,16
2023-06-30,193.207,0.023102642283956865,1,Bull,17
2023-07-03,191.703,-0.0077843970456557,0,Flat,17
2023-07-05,190.5774,-0.0058715826043410635,0,Flat,17
2023-07-06,191.0555,0.0025086920065022777,0,Flat,17
2023-07-07,189.93,-0.005890958386437384,0,Flat,17
2023-07-10,187.8681,-0.01085610488074562,-1,Bear,16
2023-07-11,187.3402,-0.002809950172487974,0,Flat,16
2023-07-12,189.0235,0.008985257835744775,0,Flat,16
2023-07-13,189.7905,0.004057696529796484,0,Flat,16
2023-07-14,189.9399,0.0007871837631492351,0,Flat,16
2023-07-17,193.2269,0.017305473994668974,1,Bull,17
2023-07-18,192.968,-0.0013398755556291997,0,Flat,17
2023-07-19,194.3326,0.007071638820944637,0,Flat,17
2023-07-20,192.3703,-0.010097636732076976,-1,Bear,16
2023-07-21,191.185,-0.006161554044465167,0,Flat,16
2023-07-24,191.9918,0.0042199963386249095,0,Flat,16
2023-07-25,192.8584,0.004513734440741546,0,Flat,16
2023-07-26,193.7349,0.004544785189548595,0,Flat,16
2023-07-27,192.46,-0.006580641897768524,0,Flat,16
2023-07-28,195.0597,0.01350774186844017,1,Bull,17
2023-07-31,195.6773,0.003166210139767589,0,Flat,17
2023-08-01,194.8356,-0.0043014698179093536,0,Flat,17
2023-08-02,191.8225,-0.015464832915545235,-1,Bear,16
2023-08-03,190.418,-0.00732187308579535,0,Flat,16
2023-08-04,181.2741,-0.04802014515434461,-1,Bear,15
2023-08-07,178.1465,-0.017253430026683336,-1,Bear,15
2023-08-08,179.0928,0.005311920245415935,0,Flat,15
2023-08-09,177.4891,-0.00895457550498957,0,Flat,15
2023-08-10,177.27,-0.0012344420023538971,0,Flat,15
2023-08-11,177.3298,0.00033733852315664947,0,Flat,15
2023-08-14,178.9955,0.009393232271169172,0,Flat,15
2023-08-15,176.9907,-0.011200281571324355,-1,Bear,14
2023-08-16,176.113,-0.004959017620699835,0,Flat,14
2023-08-17,173.5496,-0.014555427481219407,-1,Bear,13
2023-08-18,174.0383,0.0028159096880659984,0,Flat,13
2023-08-21,175.3848,0.007736802761231454,0,Flat,13
2023-08-22,176.7712,0.007904903959750076,0,Flat,13
2023-08-23,180.6512,0.021949276805271367,1,Bull,14
2023-08-24,175.9234,-0.026170875145030914,-1,Bear,14
2023-08-25,178.1477,0.012643571008745802,1,Bull,14
2023-08-28,179.7236,0.008846030569016783,0,Flat,14
2023-08-29,183.6434,0.021810157374991368,1,Bull,15
2023-08-30,187.1643,0.019172483192970713,1,Bull,15
2023-08-31,187.3837,0.0011722320976810252,0,Flat,15
2023-09-01,188.9696,0.008463382887625714,0,Flat,15
2023-09-05,189.209,0.001266870438419776,0,Flat,15
2023-09-06,182.4365,-0.03579375188283862,-1,Bear,14
2023-09-07,177.1004,-0.029249081187152748,-1,Bear,14
2023-09-08,177.7188,0.0034918046486625,0,Flat,14
2023-09-11,178.8957,0.006622259434567512,0,Flat,14
2023-09-12,175.8437,-0.01706022000528795,-1,Bear,13
2023-09-13,173.7591,-0.011854846093434235,-1,Bear,13
2023-09-14,175.2851,0.008782273849254674,0,Flat,13
2023-09-15,174.557,-0.0041538042879857295,0,Flat,13
2023-09-18,177.5093,0.016913100018905114,1,Bull,14
2023-09-19,178.6065,0.0061810845966945305,0,Flat,14
2023-09-20,175.0357,-0.019992553462500062,-1,Bear,13
2023-09-21,173.4798,-0.00888904377792632,0,Flat,13
2023-09-22,174.3376,0.0049446679094626855,0,Flat,13
2023-09-25,175.6242,0.007379934104863262,0,Flat,13
2023-09-26,171.5149,-0.02339825604899548,-1,Bear,12
2023-09-27,169.9888,-0.00889776923171115,0,Flat,12
2023-09-28,170.2482,0.0015259828882843163,0,Flat,12
2023-09-29,170.7668,0.003046140869624514,0,Flat,12
2023-10-02,173.3003,0.014836021990223047,1,Bull,13
2023-10-03,171.9537,-0.007770326998856825,0,Flat,13
2023-10-04,173.2105,0.007308944209982071,0,Flat,13
2023-10-05,174.4573,0.007198177939559125,0,Flat,13
2023-10-06,177.0306,0.014750314260280284,1,Bull,14
2023-10-09,178.5267,0.008451081338480604,0,Flat,14
2023-10-10,177.9282,-0.0033524397191008193,0,Flat,14
2023-10-11,179.3346,0.007904311964039401,0,Flat,14
2023-10-12,180.2422,0.0050609307963995764,0,Flat,14
2023-10-13,178.3871,-0.010292262300393595,-1,Bear,13
2023-10-16,178.2574,-0.0007270705112646381,0,Flat,13
2023-10-17,176.6915,-0.008784488049303985,0,Flat,13
2023-10-18,175.3848,-0.007395375555700023,0,Flat,13
2023-10-19,175.0058,-0.0021609626375832525,0,Flat,13
2023-10-20,172.4325,-0.014704084093212888,-1,Bear,12
2023-10-23,172.5522,0.0006941846809620511,0,Flat,12
2023-10-24,172.9911,0.002543578117230494,0,Flat,12
2023-10-25,170.6571,-0.013492023578091428,-1,Bear,11
2023-10-26,166.458,-0.024605480815037994,-1,Bear,11
2023-10-27,167.7846,0.0079695779115454,0,Flat,11
2023-10-30,169.8492,0.012305062562356639,1,Bull,12
2023-10-31,170.328,0.002818971181495211,0,Flat,12
2023-11-01,173.5197,0.01873855150063397,1,Bull,13
2023-11-02,177.1104,0.02069332761640319,1,Bull,13
2023-11-03,176.1927,-0.005181513903192547,0,Flat,13
2023-11-06,178.7661,0.014605599437434114,1,Bull,14
2023-11-07,181.3494,0.014450726396112001,1,Bull,14
2023-11-08,182.4166,0.005884772709476849,0,Flat,14
2023-11-09,181.9378,-0.0026247611237133484,0,Flat,14
2023-11-10,186.1624,0.02322002354650854,1,Bull,15
2023-11-13,184.5645,-0.008583365921367436,0,Flat,15
